,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
170,1,Jaycee Carroll,RMB,28.0,15.6,9.2,18.7,0.493,4.4,10.2,0.429,4.8,5.1,0.946,1.6,3.7,1.2,3.6,4.8,1.5,1.0,0.1,27.7,SG,6-2,170,37,3.0,1.0,9.0,4.0,12.0,4.0,9.0,3.0,34.0,16.0,29.0,17.0,27.0,18.0,36.0,15.0,4.0,2.0,10.0,5.0,7.0,3.0,2.0,2.0
171,2,Jaylon Brown,BBB,33.0,26.2,6.3,15.0,0.42,2.2,6.4,0.338,4.3,5.1,0.836,3.2,4.2,0.6,2.6,3.1,3.5,1.1,0.1,19.0,G,6-0,185,26,1.0,0.0,10.0,1.0,6.0,2.0,23.0,12.0,50.0,21.0,55.0,23.0,50.0,27.0,50.0,13.0,25.0,10.0,15.0,8.0,4.0,1.0,3.0,1.0
173,15,Jeffery Taylor,RMB,26.0,16.1,4.4,9.0,0.489,2.1,5.4,0.386,2.3,3.1,0.727,2.1,3.9,1.3,3.2,4.6,1.0,1.2,0.1,13.2,SF,6-7,225,31,1.0,0.0,9.0,1.0,6.0,0.0,1.0,0.0,6.0,3.0,7.0,5.0,15.0,10.0,3.0,1.0,0.0,0.0,10.0,6.0,5.0,1.0,3.0,3.0
174,2,Jeremy Senglin,AND,31.0,24.1,6.5,14.8,0.442,2.0,5.6,0.356,4.1,5.1,0.792,2.2,3.9,0.9,3.3,4.2,2.9,0.8,0.1,19.1,G,6-0,190,25,0.0,0.0,8.0,4.0,7.0,2.0,25.0,15.0,32.0,11.0,46.0,21.0,43.0,22.0,36.0,13.0,26.0,12.0,14.0,5.0,5.0,4.0,1.0,1.0
175,6,Jerome Jordan,BETIS,20.0,15.6,5.5,11.4,0.483,0.0,0.0,0.0,3.8,5.4,0.714,2.7,4.7,3.1,6.9,10.0,2.0,1.2,1.5,14.8,C,7-0,253,34,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,6.0,34.0,15.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
176,9,Joan Sastre,VAL,20.0,17.8,5.6,10.4,0.538,2.4,5.3,0.447,1.6,1.9,0.824,2.2,2.4,0.7,2.2,2.9,4.2,1.6,0.7,15.2,SF,6-7,200,29,1.0,0.0,3.0,2.0,2.0,1.0,7.0,1.0,8.0,2.0,20.0,13.0,14.0,11.0,13.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,3.0,1.0
177,14,Joel Parra,JOV,34.0,13.5,4.4,8.7,0.5,1.2,3.0,0.412,1.9,2.4,0.815,1.2,3.9,2.8,5.8,8.6,0.8,1.3,0.3,11.9,F,6-8,210,20,3.0,1.0,7.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,27.0,15.0,25.0,14.0,3.0,2.0,1.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0
178,4,John Jenkins,BBB,20.0,27.5,6.8,15.3,0.443,4.0,9.8,0.407,1.4,1.8,0.76,2.2,3.1,0.6,2.0,2.5,2.0,1.1,0.2,18.9,SG,6-4,215,29,4.0,2.0,15.0,6.0,8.0,2.0,16.0,7.0,49.0,23.0,14.0,9.0,15.0,8.0,36.0,9.0,16.0,8.0,14.0,7.0,9.0,7.0,6.0,3.0
179,3,John Roberson,EST,31.0,22.0,6.8,16.3,0.419,4.5,11.0,0.404,2.3,2.4,0.951,2.4,3.5,0.4,1.9,2.3,5.4,0.9,0.1,20.4,PG,5-11,168,32,1.0,0.0,9.0,3.0,12.0,3.0,22.0,9.0,68.0,25.0,16.0,9.0,30.0,15.0,67.0,30.0,15.0,5.0,18.0,10.0,2.0,1.0,4.0,1.0
180,18,John Shurna,GCN,32.0,23.3,4.9,9.6,0.508,1.7,4.1,0.421,1.4,1.8,0.794,1.0,2.5,2.3,5.4,7.6,1.8,2.1,0.9,12.9,F,6-9,215,30,1.0,0.0,17.0,8.0,16.0,4.0,2.0,1.0,10.0,5.0,26.0,15.0,38.0,20.0,18.0,11.0,4.0,3.0,13.0,4.0,10.0,4.0,4.0,2.0
181,12,Jonathan Barreiro,ZAR,34.0,22.6,5.6,12.1,0.466,2.1,5.9,0.363,2.8,3.5,0.779,1.8,2.9,2.6,5.1,7.6,1.8,0.8,0.3,16.2,SF,6-8,200,24,2.0,1.0,10.0,3.0,13.0,4.0,3.0,1.0,19.0,5.0,52.0,34.0,46.0,22.0,30.0,17.0,2.0,1.0,23.0,4.0,8.0,3.0,5.0,1.0
182,7,Jonathan Rousselle,BBB,27.0,24.5,5.3,11.3,0.468,2.1,5.8,0.354,3.8,4.5,0.827,3.6,5.1,0.4,2.7,3.1,6.8,1.5,0.1,16.3,PG,6-3,185,31,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,11.0,38.0,22.0,41.0,25.0,43.0,20.0,4.0,1.0,7.0,2.0,1.0,0.0,3.0,0.0
183,6,Jonathan Tabu,MAN,22.0,16.0,5.1,16.1,0.317,3.5,11.0,0.32,4.7,5.3,0.872,6.3,5.5,0.7,3.0,3.6,8.9,1.8,0.0,18.4,PG,6-0,194,35,1.0,0.0,3.0,1.0,4.0,2.0,9.0,3.0,43.0,15.0,14.0,3.0,10.0,6.0,31.0,8.0,9.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0
184,3,Jordan Davis,MUR,32.0,21.7,7.8,18.9,0.416,0.8,3.2,0.25,4.6,6.9,0.664,4.1,4.6,1.1,2.2,3.3,4.2,2.1,0.4,21.1,PG,6-2,185,23,1.0,0.0,9.0,2.0,5.0,1.0,19.0,7.0,14.0,3.0,93.0,46.0,107.0,44.0,19.0,6.0,15.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0
185,7,Jordan Sakho,SPB,30.0,9.9,5.5,10.4,0.532,0.0,0.1,0.0,4.3,5.8,0.744,3.9,11.6,4.6,5.5,10.1,1.8,2.0,1.1,15.4,C,6-10,220,23,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,28.0,13.0,30.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,14,Josep Puerto,VAL,16.0,8.6,3.5,7.5,0.462,2.6,4.3,0.6,2.0,2.6,0.778,1.2,3.2,0.9,3.8,4.6,0.9,0.6,0.3,11.6,G,6-6,198,21,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
187,13,Josh Sharma,MON,14.0,10.0,5.4,8.8,0.613,0.0,0.6,0.0,3.1,4.6,0.688,4.0,10.8,4.3,4.9,9.1,1.1,0.0,4.0,14.0,C,7-0,230,24,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,14,Jovan Kljajic,BBB,23.0,4.3,4.1,15.1,0.27,0.8,4.9,0.167,3.3,4.1,0.8,3.3,5.3,1.2,4.9,6.1,1.6,2.5,0.4,12.3,SG,6-6,200,19,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,7.0,3.0,9.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
191,14,Jovan Kljajic,BBB,23.0,4.3,4.1,15.1,0.27,0.8,4.9,0.167,3.3,4.1,0.8,3.3,5.3,1.2,4.9,6.1,1.6,2.5,0.4,12.3,SG,6-6,200,19,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,7.0,3.0,9.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
192,12,Jovan Novak,MON,16.0,21.8,4.8,10.7,0.452,2.5,6.9,0.367,2.2,3.3,0.655,3.2,3.1,0.6,3.0,3.6,6.6,1.1,0.0,14.3,G,6-3,187,26,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0,6.0,11.0,5.0,18.0,12.0,23.0,14.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
193,10,Juan Vaulet,MAN,35.0,22.2,5.6,10.8,0.519,0.7,2.3,0.289,2.0,3.0,0.661,1.8,4.4,2.3,4.8,7.1,1.7,1.1,0.8,13.9,F,6-6,200,24,3.0,1.0,16.0,6.0,3.0,1.0,4.0,1.0,7.0,1.0,52.0,29.0,59.0,30.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,0.0,8.0,3.0
195,12,Julen Olaizola,GBC,29.0,8.9,3.1,6.7,0.465,0.3,1.4,0.222,0.8,2.8,0.278,2.6,8.8,4.5,3.6,8.1,1.2,1.5,0.3,7.3,FC,6-7,218,27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,9.0,12.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
197,6,Kartal Ozmizrak,OBR,15.0,19.5,4.9,11.6,0.424,2.7,7.4,0.37,3.0,3.3,0.917,2.9,6.0,0.0,3.2,3.2,4.2,1.4,0.3,15.6,PG,6-2,163,25,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,15.0,5.0,10.0,4.0,7.0,6.0,18.0,4.0,3.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0
198,2,Kassius Robertson,OBR,31.0,27.1,7.2,17.3,0.419,4.1,9.9,0.411,3.9,5.2,0.745,3.0,2.0,0.6,2.0,2.6,3.9,1.1,0.1,22.5,G,6-3,180,26,3.0,3.0,14.0,7.0,10.0,2.0,17.0,9.0,76.0,31.0,48.0,20.0,40.0,17.0,48.0,19.0,18.0,7.0,26.0,14.0,13.0,3.0,5.0,1.0
199,8,Ken Horton,SPB,32.0,22.4,5.7,12.5,0.458,2.6,7.1,0.37,0.7,1.0,0.722,1.3,3.5,1.4,6.4,7.9,1.9,2.1,0.4,14.8,F,6-6,190,31,0.0,0.0,16.0,7.0,17.0,7.0,4.0,1.0,34.0,11.0,36.0,21.0,28.0,14.0,26.0,9.0,3.0,1.0,19.0,7.0,5.0,1.0,2.0,1.0
200,13,Khalifa Diop,GCN,24.0,8.7,5.2,9.4,0.551,0.0,0.2,0.0,3.8,7.7,0.5,2.5,7.7,5.2,5.2,10.3,1.1,1.0,2.3,14.2,FC,6-11,231,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,19.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2,Klemen Prepelic,VAL,32.0,20.5,7.0,15.3,0.458,3.0,8.9,0.34,5.2,5.4,0.955,3.2,3.9,0.5,2.9,3.4,5.2,1.3,0.1,22.2,SG,6-3,170,28,1.0,0.0,9.0,5.0,8.0,5.0,12.0,6.0,49.0,16.0,44.0,30.0,39.0,25.0,38.0,9.0,1.0,0.0,17.0,7.0,7.0,1.0,4.0,2.0
203,14,"Kwan Cheatham, Jr.",MON,16.0,18.7,4.8,11.6,0.414,2.9,7.4,0.4,0.9,1.1,0.875,1.1,3.6,1.3,4.7,6.0,0.8,1.2,0.4,13.5,F,6-10,235,25,0.0,0.0,3.0,1.0,7.0,2.0,6.0,1.0,21.0,5.0,13.0,9.0,10.0,2.0,8.0,4.0,1.0,0.0,6.0,5.0,3.0,1.0,2.0,2.0
204,5,Kyle Alexander,MON,22.0,22.0,6.8,11.2,0.603,0.5,1.1,0.462,2.9,4.4,0.66,2.4,4.8,5.0,6.9,11.9,0.7,0.8,2.1,16.9,PF,6-10,216,24,0.0,0.0,3.0,0.0,0.0,0.0,9.0,6.0,5.0,2.0,46.0,22.0,35.0,22.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
205,5,Kyle Kuric,FCB,30.0,17.4,6.7,13.0,0.515,3.1,7.1,0.441,3.6,4.0,0.904,1.6,2.5,1.2,2.6,3.8,1.3,1.3,0.3,20.1,SG,6-4,195,31,4.0,2.0,9.0,5.0,6.0,2.0,15.0,7.0,28.0,13.0,22.0,11.0,22.0,16.0,33.0,14.0,12.0,8.0,6.0,2.0,5.0,3.0,1.0,0.0
206,5,Laurynas Beliauskas,OBR,34.0,18.5,5.6,13.5,0.413,2.8,8.6,0.324,1.8,2.4,0.737,2.3,3.6,0.6,2.7,3.3,3.6,1.3,0.2,15.7,G,6-4,175,23,0.0,0.0,11.0,4.0,8.0,2.0,15.0,8.0,31.0,9.0,27.0,14.0,18.0,10.0,37.0,12.0,9.0,7.0,12.0,4.0,9.0,2.0,6.0,1.0
207,3,Laurynas Birutis,OBR,30.0,20.5,7.2,12.1,0.597,0.0,0.0,0.0,5.9,8.2,0.714,3.1,3.6,3.6,6.6,10.2,1.2,0.9,1.6,20.3,C,7-1,242,23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,78.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
208,10,Leandro Bolmaro,FCB,31.0,15.2,5.1,10.0,0.508,1.8,3.9,0.457,3.9,4.4,0.885,3.2,3.9,1.1,2.6,3.7,4.9,2.1,0.5,15.9,SG,6-7,182,20,2.0,1.0,9.0,5.0,1.0,1.0,4.0,2.0,7.0,5.0,19.0,9.0,19.0,7.0,19.0,10.0,8.0,5.0,8.0,2.0,3.0,2.0,0.0,0.0
209,15,Leo Westermann,FCB,15.0,15.2,3.7,10.3,0.356,2.1,6.3,0.333,0.7,1.1,0.667,3.3,4.4,0.7,3.0,3.7,7.5,0.7,0.0,10.2,SF,6-6,197,28,1.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,12.0,5.0,11.0,7.0,3.0,0.0,14.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
210,4,Leonardo Meindl,MON,34.0,25.8,6.4,14.4,0.445,1.0,3.6,0.263,3.4,5.1,0.67,2.8,4.3,3.2,5.8,9.0,2.5,2.3,0.1,17.2,SF,6-7,200,27,3.0,1.0,10.0,2.0,7.0,1.0,8.0,2.0,22.0,9.0,92.0,41.0,95.0,53.0,19.0,4.0,10.0,4.0,10.0,3.0,7.0,0.0,4.0,0.0
212,8,Louis Labeyrie,VAL,29.0,23.4,5.9,9.5,0.621,1.9,3.8,0.492,2.1,2.9,0.714,1.3,1.2,2.1,6.4,8.6,1.0,1.1,0.6,15.8,PF,6-10,200,29,0.0,0.0,15.0,7.0,3.0,2.0,3.0,1.0,8.0,4.0,25.0,19.0,30.0,19.0,23.0,9.0,1.0,0.0,6.0,3.0,9.0,8.0,3.0,2.0
213,4,Luca Vildoza,CAJ,27.0,23.5,6.1,14.6,0.42,2.7,7.6,0.355,3.7,4.4,0.829,4.0,2.5,0.4,2.4,2.8,6.3,2.8,0.1,18.6,PG,6-3,190,25,1.0,1.0,18.0,5.0,4.0,1.0,11.0,3.0,39.0,14.0,28.0,16.0,41.0,22.0,41.0,16.0,14.0,7.0,8.0,2.0,6.0,2.0,3.0,0.0
214,8,Lucas Faggiano,GBC,34.0,24.2,4.7,11.6,0.408,1.6,4.4,0.367,1.6,2.3,0.688,3.0,3.7,0.6,2.9,3.4,5.7,1.7,0.1,12.6,G,6-2,185,31,1.0,1.0,5.0,1.0,6.0,2.0,18.0,5.0,25.0,12.0,51.0,27.0,48.0,26.0,40.0,11.0,10.0,1.0,8.0,4.0,4.0,0.0,0.0,0.0
215,12,Ludde Hakanson,BBB,24.0,21.9,5.1,13.3,0.383,2.1,6.2,0.346,1.7,2.1,0.821,3.6,3.4,0.7,3.0,3.7,5.7,1.3,0.3,14.1,PG,6-3,184,24,1.0,1.0,5.0,0.0,0.0,0.0,10.0,7.0,31.0,14.0,27.0,9.0,25.0,11.0,32.0,5.0,9.0,3.0,2.0,0.0,9.0,5.0,0.0,0.0
217,5,Makai Mason,MAN,28.0,21.3,7.0,18.7,0.373,2.7,9.1,0.296,3.4,4.1,0.836,3.3,4.8,0.5,1.7,2.1,4.1,1.0,0.1,20.1,G,6-1,185,25,1.0,0.0,10.0,5.0,9.0,2.0,9.0,3.0,42.0,11.0,37.0,19.0,62.0,30.0,48.0,14.0,7.0,2.0,13.0,4.0,11.0,4.0,2.0,1.0
218,10,Maksim Salash,SPB,18.0,9.4,5.7,13.2,0.429,0.5,5.2,0.091,1.4,2.6,0.545,0.9,3.3,1.7,6.1,7.8,1.4,0.9,0.7,13.2,PF,6-9,220,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,13.0,8.0,13.0,7.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
219,11,Malcolm Thomas,UNI,12.0,19.9,5.4,9.4,0.571,0.0,0.3,0.0,2.9,3.4,0.85,1.8,6.0,4.5,5.7,10.2,2.3,1.3,1.7,13.6,F,6-9,225,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,18.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,5,Malik Dime,AND,18.0,13.5,6.4,11.4,0.565,0.0,0.2,0.0,4.1,5.8,0.714,3.6,7.2,3.8,5.8,9.5,0.3,1.6,5.3,16.9,PF,6-9,220,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,7.0,18.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,9,Mamadou Niang,BETIS,13.0,13.4,5.5,8.5,0.649,0.0,0.2,0.0,1.6,4.6,0.35,2.5,4.6,3.2,6.6,9.9,1.4,0.5,0.9,12.6,C,6-10,235,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2,Marc Garcia,MON,25.0,18.5,7.2,16.8,0.428,2.8,7.1,0.39,5.1,6.1,0.843,2.7,3.0,1.4,3.1,4.5,1.6,1.4,0.3,22.2,GF,6-6,180,24,3.0,0.0,9.0,4.0,7.0,4.0,2.0,1.0,26.0,5.0,45.0,23.0,46.0,18.0,23.0,10.0,5.0,4.0,10.0,5.0,4.0,2.0,4.0,3.0
224,2,Marcelinho Huertas,CAN,33.0,25.7,8.6,16.5,0.519,1.8,4.1,0.437,3.2,3.5,0.919,4.1,2.3,0.7,2.5,3.1,9.6,1.0,0.0,22.1,PG,6-3,200,37,0.0,0.0,21.0,10.0,5.0,1.0,41.0,18.0,24.0,14.0,61.0,32.0,69.0,43.0,34.0,15.0,33.0,19.0,6.0,3.0,10.0,3.0,2.0,0.0
226,16,Marques Townes,MUR,19.0,9.1,3.2,9.5,0.341,0.5,1.8,0.25,0.5,1.2,0.4,1.2,3.7,0.5,2.3,2.8,2.5,1.8,0.0,7.4,G,6-4,208,25,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,8.0,3.0,15.0,6.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
228,5,Martin Hermannsson,VAL,30.0,16.9,5.9,13.7,0.431,1.9,5.0,0.381,3.8,4.1,0.923,3.3,5.1,0.7,2.5,3.2,6.7,1.4,0.0,17.5,G,6-3,170,26,0.0,0.0,6.0,1.0,2.0,1.0,11.0,5.0,21.0,9.0,34.0,16.0,54.0,26.0,22.0,7.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0
230,4,Martynas Sajus,MAN,29.0,11.3,8.4,13.5,0.627,0.0,0.0,0.0,5.9,7.5,0.787,3.9,6.7,5.1,6.1,11.3,1.5,0.4,0.6,22.8,C,6-8,247,25,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,38.0,24.0,41.0,27.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
231,4,Matt Costello,GCN,27.0,23.4,8.3,16.7,0.496,2.2,5.9,0.376,2.3,3.3,0.712,2.2,4.9,3.4,6.5,9.9,2.2,0.8,2.0,21.2,C,6-9,245,27,0.0,0.0,5.0,4.0,8.0,3.0,5.0,2.0,31.0,8.0,62.0,33.0,62.0,29.0,26.0,12.0,1.0,0.0,7.0,1.0,5.0,2.0,1.0,1.0
232,8,Matt Janning,MAN,14.0,24.4,5.6,13.8,0.407,4.1,10.2,0.402,1.3,1.5,0.846,1.6,2.3,0.5,3.3,3.7,3.4,0.8,0.1,16.6,GF,6-4,198,32,2.0,1.0,5.0,0.0,8.0,5.0,2.0,0.0,23.0,12.0,9.0,4.0,7.0,3.0,27.0,9.0,4.0,2.0,8.0,4.0,2.0,0.0,0.0,0.0
233,1,Melo Trimble,MON,32.0,28.0,7.2,16.9,0.426,2.8,8.3,0.335,6.9,8.0,0.866,4.5,3.5,0.4,3.0,3.3,4.7,2.1,0.1,24.0,G,6-3,195,26,1.0,0.0,3.0,1.0,9.0,2.0,6.0,1.0,55.0,23.0,89.0,50.0,76.0,35.0,92.0,30.0,12.0,6.0,11.0,4.0,1.0,1.0,3.0,1.0
236,5,Mike Carlson,GBC,17.0,16.2,5.8,13.4,0.435,2.0,6.8,0.298,1.0,1.9,0.538,1.6,5.2,1.9,3.8,5.7,1.6,1.3,0.4,14.7,PF,6-9,200,29,1.0,0.0,4.0,3.0,2.0,1.0,5.0,0.0,6.0,1.0,20.0,14.0,11.0,7.0,22.0,8.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0
237,4,Mike Daum,OBR,28.0,21.2,6.7,15.1,0.44,2.4,6.3,0.372,3.2,4.0,0.797,2.6,4.6,2.4,5.9,8.2,1.0,1.1,0.3,18.8,F,6-9,235,25,0.0,0.0,14.0,7.0,4.0,1.0,3.0,2.0,26.0,8.0,40.0,19.0,41.0,21.0,21.0,6.0,5.0,1.0,10.0,5.0,9.0,3.0,2.0,1.0
238,3,Mike Tobey,VAL,33.0,18.7,8.8,14.2,0.624,1.6,4.0,0.403,1.9,2.7,0.714,2.1,3.8,2.7,7.1,9.8,1.9,0.9,0.8,21.2,C,7-0,260,26,0.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,27.0,8.0,39.0,24.0,40.0,24.0,27.0,12.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0
239,14,Mike Torres,BETIS,28.0,6.7,2.6,10.1,0.255,1.1,4.5,0.238,4.5,4.9,0.913,4.1,6.7,0.6,3.9,4.5,3.9,1.5,0.0,10.7,PG,6-2,176,26,0.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,9.0,2.0,9.0,4.0,4.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0
240,11,Mikel Motos,GBC,17.0,5.0,3.3,13.7,0.241,0.5,4.2,0.111,1.9,2.8,0.667,3.3,6.1,2.4,6.1,8.5,3.3,0.9,0.5,9.0,SG,6-4,187,28,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
242,11,Miquel Salvo,SPB,32.0,14.9,4.2,9.4,0.446,1.6,4.6,0.345,2.0,2.6,0.774,1.2,4.8,1.5,4.0,5.5,1.0,1.4,0.3,12.0,F,6-9,198,26,2.0,0.0,6.0,4.0,12.0,6.0,2.0,2.0,8.0,3.0,21.0,12.0,28.0,15.0,8.0,3.0,1.0,0.0,11.0,1.0,2.0,0.0,1.0,0.0
243,9,Moses Kingsley,BBB,8.0,11.3,6.2,15.5,0.4,1.3,4.0,0.333,1.8,2.2,0.8,3.5,4.4,4.0,4.4,8.4,0.9,0.4,2.2,15.5,PF,6-10,230,26,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,14.0,6.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
245,14,Nacho Llovet,AND,24.0,15.8,4.1,8.1,0.506,0.2,1.2,0.182,1.7,2.3,0.727,1.1,4.5,3.9,5.6,9.5,2.2,1.2,0.5,10.1,FC,6-8,225,29,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,33.0,19.0,26.0,13.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
247,8,Nemanja Djurisic,EST,33.0,17.9,5.3,11.8,0.454,1.9,5.4,0.35,1.2,1.6,0.708,2.2,4.7,2.0,5.3,7.2,1.8,0.9,0.4,13.7,F,6-8,230,29,2.0,1.0,7.0,4.0,6.0,1.0,1.0,0.0,20.0,9.0,34.0,17.0,37.0,22.0,17.0,5.0,0.0,0.0,10.0,1.0,7.0,2.0,6.0,2.0
248,5,Nemanja Radovic,MUR,34.0,20.4,8.0,15.5,0.515,0.9,3.3,0.259,2.8,4.5,0.615,2.5,4.2,3.6,5.7,9.3,1.2,1.2,0.9,19.6,PF,6-8,215,29,1.0,0.0,12.0,4.0,4.0,2.0,3.0,2.0,21.0,6.0,82.0,52.0,88.0,52.0,15.0,5.0,5.0,1.0,7.0,1.0,5.0,3.0,1.0,0.0
249,4,Nenad Dimitrijevic,JOV,31.0,20.3,7.9,17.4,0.454,1.5,5.6,0.273,3.3,4.5,0.743,4.9,3.9,0.6,2.4,2.9,6.8,1.1,0.3,20.6,PG,6-1,174,23,0.0,0.0,11.0,3.0,4.0,2.0,6.0,2.0,30.0,9.0,74.0,41.0,69.0,41.0,23.0,4.0,5.0,2.0,5.0,1.0,11.0,6.0,2.0,0.0
250,4,Nenad Dimitrijevic,JOV,31.0,20.3,7.9,17.4,0.454,1.5,5.6,0.273,3.3,4.5,0.743,4.9,3.9,0.6,2.4,2.9,6.8,1.1,0.3,20.6,PG,6-1,174,23,0.0,0.0,11.0,3.0,4.0,2.0,6.0,2.0,30.0,9.0,74.0,41.0,69.0,41.0,23.0,4.0,5.0,2.0,5.0,1.0,11.0,6.0,2.0,0.0
251,12,Nicholas Kay,BETIS,34.0,27.2,4.7,9.8,0.482,0.8,2.7,0.29,1.7,2.0,0.83,1.0,2.4,3.3,5.1,8.4,1.7,1.5,0.4,11.9,F,6-9,230,28,1.0,1.0,11.0,1.0,2.0,1.0,6.0,2.0,21.0,7.0,61.0,38.0,70.0,37.0,17.0,4.0,4.0,2.0,4.0,2.0,11.0,2.0,1.0,1.0
252,11,Nick Calathes,FCB,32.0,19.5,6.5,13.7,0.472,1.7,4.3,0.403,1.2,2.1,0.576,3.6,4.7,1.2,4.9,6.0,11.0,2.3,0.2,15.9,PG,6-6,213,32,1.0,0.0,5.0,3.0,0.0,0.0,10.0,4.0,23.0,10.0,50.0,27.0,70.0,36.0,27.0,11.0,6.0,2.0,1.0,1.0,5.0,1.0,3.0,0.0
253,10,Nick Spires,BETIS,21.0,10.1,5.1,11.9,0.429,0.8,3.2,0.235,1.3,1.9,0.7,2.1,6.4,3.8,5.5,9.3,1.9,0.9,1.5,12.3,F,6-9,215,27,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,8.0,0.0,19.0,8.0,13.0,8.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
