,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
46,12,Bandja Sy,AND,23.0,18.6,4.4,10.3,0.427,1.2,5.1,0.236,1.4,2.0,0.714,1.7,4.2,3.5,4.8,8.2,1.2,1.4,1.0,11.4,F,6-8,214,30,2.0,1.0,4.0,1.0,11.0,2.0,2.0,1.0,11.0,1.0,14.0,7.0,21.0,12.0,8.0,2.0,1.0,0.0,9.0,4.0,2.0,0.0,3.0,0.0
48,16,Beka Burjanadze,GCN,18.0,16.8,4.4,10.2,0.429,1.2,4.0,0.3,3.6,5.0,0.711,1.8,3.7,2.0,5.3,7.3,2.1,0.8,0.0,13.5,PF,6-8,260,27,0.0,0.0,5.0,2.0,3.0,1.0,2.0,0.0,10.0,3.0,10.0,6.0,15.0,11.0,4.0,1.0,5.0,1.0,5.0,1.0,6.0,1.0,2.0,0.0
49,1,Bojan Dubljevic,VAL,27.0,21.6,8.6,16.6,0.519,2.3,5.1,0.446,4.6,5.2,0.882,4.1,3.0,4.1,6.5,10.5,5.6,1.6,0.3,24.1,FC,6-9,242,29,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,29.0,10.0,65.0,39.0,70.0,40.0,28.0,14.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
52,13,Boris Tisma,BETIS,9.0,8.6,4.1,13.4,0.308,1.5,5.7,0.273,1.5,1.5,1.0,2.1,3.6,3.1,3.1,6.2,3.1,1.5,0.0,11.3,SF,6-9,153,19,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
53,13,Boris Tisma,BETIS,9.0,8.6,4.1,13.4,0.308,1.5,5.7,0.273,1.5,1.5,1.0,2.1,3.6,3.1,3.1,6.2,3.1,1.5,0.0,11.3,SF,6-9,153,19,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
55,2,Brandon Davies,FCB,25.0,16.8,8.2,14.8,0.555,0.1,0.4,0.25,7.1,8.5,0.831,3.5,5.7,3.2,5.7,9.0,3.1,1.5,0.9,23.5,PF,6-8,240,29,0.0,0.0,2.0,1.0,0.0,0.0,9.0,5.0,2.0,1.0,48.0,30.0,51.0,29.0,0.0,0.0,11.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0
56,10,Brandone Francis,GBC,15.0,16.2,4.3,14.2,0.302,1.6,6.1,0.27,1.8,2.5,0.733,3.8,4.6,0.8,1.8,2.6,1.0,1.6,0.3,12.0,GF,6-5,215,25,0.0,0.0,12.0,5.0,2.0,1.0,6.0,0.0,5.0,1.0,11.0,5.0,11.0,3.0,11.0,4.0,6.0,2.0,10.0,2.0,3.0,1.0,3.0,2.0
57,6,Bruno Fitipaldo,CAN,33.0,23.1,6.3,15.2,0.414,2.3,6.9,0.333,3.8,4.7,0.811,3.7,3.9,0.6,2.2,2.8,8.1,2.3,0.0,18.7,PG,6-0,183,29,1.0,0.0,8.0,4.0,11.0,3.0,12.0,5.0,41.0,19.0,52.0,34.0,50.0,20.0,43.0,13.0,16.0,4.0,9.0,1.0,6.0,1.0,2.0,1.0
59,14,Carlos Alocen,RMB,29.0,13.3,4.8,13.7,0.348,1.9,6.8,0.273,2.2,3.1,0.7,3.8,2.8,0.6,4.4,5.0,5.7,1.0,0.1,13.6,PG,6-5,205,20,1.0,0.0,6.0,4.0,6.0,1.0,3.0,3.0,20.0,3.0,25.0,10.0,27.0,9.0,19.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0
60,12,Carlos Suarez,UNI,12.0,11.1,3.6,8.1,0.444,2.7,6.3,0.429,2.7,3.0,0.9,1.8,2.4,2.1,7.2,9.3,4.5,1.2,0.6,12.7,SF,6-8,233,34,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0
