,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
18,6,Cory Higgins,FCB,23,21.3,0.2,0.3,.473,0.0,0.1,.395,0.1,0.1,.909,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.5,G,6-5,181,31
19,7,Alex Abrines,FCB,29,20.7,0.1,0.3,.519,0.1,0.2,.465,0.1,0.1,.914,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.4,GF,6-6,190,27
20,8,Pierre Oriola,FCB,34,15.9,0.2,0.3,.604,0.0,0.0,.500,0.1,0.1,.558,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.4,PF,6-8,235,28
21,9,Rolands Smits,FCB,32,15.8,0.1,0.3,.500,0.0,0.1,.373,0.1,0.1,.745,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.4,SF,6-10,235,25
22,10,Leandro Bolmaro,FCB,31,15.2,0.1,0.3,.508,0.0,0.1,.457,0.1,0.1,.885,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.4,SG,6-7,182,20
23,11,Nick Calathes,FCB,32,19.5,0.2,0.3,.472,0.0,0.1,.403,0.0,0.1,.576,0.1,0.1,0.0,0.1,0.2,0.3,0.1,0.0,0.4,PG,6-6,213,32
24,12,Adam Hanga,FCB,31,16.1,0.1,0.2,.578,0.1,0.1,.541,0.1,0.1,.703,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.0,0.4,SF,6-7,200,31
25,13,Thomas Heurtel,FCB,14,18.2,0.1,0.3,.429,0.0,0.1,.333,0.0,0.0,.778,0.1,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.3,G,6-2,180,31
26,14,Brancou Badio,FCB,7,10.4,0.1,0.3,.333,0.0,0.1,.200,0.0,0.0,1.000,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3,PG,6-3,187,22
27,15,Leo Westermann,FCB,15,15.2,0.1,0.3,.356,0.1,0.2,.333,0.0,0.0,.667,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.3,SF,6-6,197,28
28,16,Sergi Martinez,FCB,26,15.2,0.1,0.2,.429,0.0,0.1,.320,0.1,0.1,.786,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.2,F,6-7,220,21
29,17,Victor Claver,FCB,13,14.1,0.1,0.2,.371,0.0,0.1,.318,0.0,0.0,1.000,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.2,SF,6-10,235,32
30,18,Ibou Badji,FCB,3,3.8,0.0,0.0,.000,0.0,0.0,.000,0.2,0.2,1.000,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.1,0.2,C,7-1,230,18
31,19,Michael Caicedo,FCB,1,3.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,.000,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,6-6,-,17
32,1,Scott Eatherton,MAN,35,22.9,0.2,0.4,.599,0.0,0.1,.435,0.1,0.1,.755,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0,0.6,F,6-8,234,29
33,2,Yankuba Sima,MAN,33,9.5,0.2,0.4,.597,0.0,0.0,.000,0.1,0.2,.557,0.1,0.2,0.1,0.2,0.2,0.1,0.0,0.0,0.6,C,6-11,225,24
34,3,Frankie Ferrari,MAN,11,20.6,0.2,0.5,.400,0.1,0.3,.345,0.1,0.1,.933,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.6,G,6-1,188,25
35,3,Frankie Ferrari,MAN,11,20.6,0.2,0.5,.400,0.1,0.3,.345,0.1,0.1,.933,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.6,G,6-1,188,25
36,3,Frankie Ferrari,MAN,11,20.6,0.2,0.5,.400,0.1,0.3,.345,0.1,0.1,.933,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.6,G,6-1,188,25
37,3,Frankie Ferrari,MAN,11,20.6,0.2,0.5,.400,0.1,0.3,.345,0.1,0.1,.933,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.0,0.6,G,6-1,188,25
