,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
51,11,Dani Perez,MAN,24,24.2,4.5,13.0,.344,2.0,6.7,.299,2.0,2.5,.806,4.8,4.3,0.5,2.8,3.3,10.8,1.7,0.1,13.0,PG,6-0,188,31
52,12,Seth Hinrichs,MAN,35,24.8,5.3,9.0,.582,0.6,1.9,.293,1.6,2.5,.630,2.5,3.9,3.2,5.3,8.5,2.8,1.3,0.2,12.6,SG,6-8,223,27
53,13,Daniel Garcia,MAN,13,13.9,4.2,10.6,.396,2.0,7.1,.281,0.7,1.1,.600,5.1,8.2,0.4,3.3,3.8,7.8,1.1,0.0,11.1,PG,6-1,176,23
54,14,Guillem Jou,MAN,23,19.9,3.5,9.3,.377,1.8,6.2,.282,1.9,2.5,.786,1.5,1.9,2.6,5.4,8.1,1.8,1.5,0.4,10.7,SG,6-6,180,23
55,15,Janari Joesaar,MAN,4,14.6,3.4,12.3,.278,2.1,10.3,.200,0.7,2.1,.333,0.7,2.7,0.7,5.5,6.2,0.7,2.1,0.7,9.6,F,6-6,208,27
56,16,Deividas Dulkys,MAN,11,14.9,1.9,10.2,.190,1.5,8.0,.182,1.0,1.0,1.000,0.7,4.4,1.7,4.6,6.3,1.2,2.2,0.0,6.3,GF,6-5,196,32
57,17,Marc Penarroya,MAN,2,7.4,0.0,13.5,.000,0.0,2.7,.000,2.7,5.4,.500,5.4,5.4,0.0,2.7,2.7,8.1,2.7,0.0,2.7,PG,5-11,178,18
58,1,Elias Harris,ZAR,17,23.1,8.7,13.8,.630,0.4,0.8,.500,6.4,6.8,.940,2.4,4.0,1.7,5.9,7.6,2.5,1.1,0.3,24.1,SF,6-8,239,31
59,2,Jake Wiley,ZAR,12,19.3,9.3,15.8,.593,0.0,0.2,.000,4.0,5.2,.767,1.6,4.8,2.6,5.2,7.8,2.6,1.2,1.2,22.7,F,6-8,220,26
60,2,Jake Wiley,ZAR,12,19.3,9.3,15.8,.593,0.0,0.2,.000,4.0,5.2,.767,1.6,4.8,2.6,5.2,7.8,2.6,1.2,1.2,22.7,F,6-8,220,26
61,7,Jake Wiley,GCN,11,22.3,7.5,14.8,.505,0.8,2.3,.357,1.8,2.9,.611,3.3,3.1,1.8,5.0,6.8,1.8,1.3,1.0,17.6,F,6-8,220,26
62,7,Jake Wiley,GCN,11,22.3,7.5,14.8,.505,0.8,2.3,.357,1.8,2.9,.611,3.3,3.1,1.8,5.0,6.8,1.8,1.3,1.0,17.6,F,6-8,220,26
63,3,Dylan Ennis,ZAR,34,29.4,7.8,16.0,.491,2.2,6.6,.335,4.1,5.4,.763,3.4,2.4,0.5,3.9,4.4,4.4,2.0,0.2,22.0,G,6-2,195,29
64,4,Sagaba Konate,ZAR,6,4.5,5.9,11.8,.500,0.0,1.5,.000,8.8,13.2,.667,4.4,8.8,4.4,2.9,7.3,1.5,0.0,1.5,20.6,PF,6-7,260,23
65,5,D.J. Seeley,ZAR,11,25.7,6.6,13.4,.495,2.7,6.4,.422,4.4,5.1,.861,4.7,2.7,1.1,2.4,3.5,2.7,0.7,0.1,20.4,G,6-4,195,31
66,6,Robin Benzing,ZAR,34,20.7,6.1,15.8,.390,2.8,8.4,.338,4.6,5.7,.802,2.0,4.2,0.9,4.0,4.8,1.3,1.5,0.7,19.8,SF,6-8,222,32
67,7,Jason Thompson,ZAR,17,18.2,7.5,13.3,.563,0.0,0.1,.000,3.1,5.9,.522,3.7,7.4,1.8,8.8,10.6,3.2,0.9,0.5,18.1,PF,6-11,250,34
68,8,Nicolas Brussino,ZAR,34,25.0,6.1,12.1,.500,2.6,6.1,.431,3.1,3.8,.825,3.7,4.6,0.9,5.0,5.9,4.4,1.9,0.2,17.9,G,6-8,195,27
