,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
52,Clevin Hannah,AND,34,25.0,4.1,8.9,0.459,1.9,4.6,0.41,2.9,3.2,0.89,2.2,2.6,0.2,1.5,1.7,4.6,0.8,0.0,12.9,G,1.557528,165,33,1.0,1.0,7.0,3.0,9.0,2.0,5.0,1.0,43.0,20.0,49.0,27.0,46.0,21.0,68.0,27.0,10.0,4.0,9.0,5.0,7.0,5.0,2.0,1.0,Playmakers
53,Conner Frankamp,MUR,23,25.8,5.8,13.5,0.429,2.4,6.6,0.371,2.1,2.4,0.857,1.9,2.0,0.4,1.8,2.3,3.4,0.8,0.2,16.1,PG,1.85928,169,25,0.0,0.0,11.0,5.0,10.0,3.0,19.0,10.0,58.0,26.0,50.0,25.0,56.0,28.0,47.0,13.0,10.0,3.0,8.0,3.0,7.0,3.0,3.0,2.0,Playmakers
54,Conor Morgan,JOV,31,19.0,2.4,5.4,0.449,1.1,2.6,0.402,1.0,1.3,0.795,1.0,2.7,0.7,2.5,3.2,0.7,0.4,0.3,6.9,FC,2.10312,220,26,1.0,0.0,16.0,5.0,4.0,3.0,5.0,1.0,18.0,9.0,26.0,13.0,30.0,12.0,20.0,8.0,1.0,1.0,14.0,4.0,5.0,2.0,7.0,2.0,Role-Players
55,Cory Higgins,FCB,23,21.3,3.4,7.2,0.473,0.7,1.9,0.395,2.6,2.9,0.909,1.0,1.6,0.3,1.8,2.1,2.4,1.3,0.3,10.1,G,1.9812,181,31,1.0,1.0,5.0,2.0,4.0,2.0,9.0,4.0,14.0,4.0,49.0,25.0,38.0,17.0,16.0,7.0,8.0,3.0,5.0,3.0,7.0,3.0,1.0,0.0,Big-Guys
56,D.J. Seeley,ZAR,11,25.7,4.3,8.6,0.495,1.7,4.1,0.422,2.8,3.3,0.861,3.0,1.7,0.7,1.5,2.3,1.7,0.5,0.1,13.1,G,1.9507201,195,31,1.0,1.0,4.0,1.0,3.0,1.0,8.0,5.0,17.0,6.0,14.0,10.0,10.0,6.0,7.0,2.0,4.0,1.0,7.0,5.0,8.0,3.0,1.0,0.0,Role-Players
57,D.J. Strawberry,MUR,27,18.1,2.2,6.7,0.326,1.3,4.3,0.293,0.6,1.1,0.586,1.4,2.1,0.3,1.3,1.6,1.7,0.8,0.2,6.3,G,1.9812,205,35,0.0,0.0,5.0,1.0,9.0,4.0,6.0,1.0,37.0,7.0,14.0,9.0,23.0,9.0,34.0,16.0,12.0,4.0,11.0,3.0,3.0,0.0,3.0,0.0,Playmakers
58,Dani Perez,MAN,24,24.2,2.7,7.9,0.344,1.2,4.0,0.299,1.2,1.5,0.806,2.9,2.6,0.3,1.7,2.0,6.5,1.0,0.0,7.8,PG,1.8288,188,31,0.0,0.0,5.0,2.0,6.0,2.0,8.0,5.0,37.0,8.0,32.0,14.0,31.0,12.0,40.0,15.0,12.0,3.0,6.0,2.0,3.0,1.0,1.0,0.0,Playmakers
59,Daniel Diez,CAN,10,12.3,0.8,1.7,0.471,0.4,1.0,0.4,0.4,0.5,0.8,0.4,0.1,0.3,1.4,1.7,0.2,0.5,0.0,2.4,SF,2.0726402,216,27,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Role-Players
60,Daniel Garcia,MAN,13,13.9,1.5,3.7,0.396,0.7,2.5,0.281,0.2,0.4,0.6,1.8,2.8,0.2,1.2,1.3,2.7,0.4,0.0,3.8,PG,1.85928,176,23,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,11.0,2.0,7.0,4.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,Role-Players
61,Dario Brizuela,UNI,32,23.9,5.5,11.8,0.464,1.8,4.9,0.357,1.3,1.8,0.768,1.7,1.9,0.2,1.4,1.6,3.1,1.0,0.1,14.0,SG,1.9507201,161,26,5.0,2.0,13.0,5.0,6.0,3.0,27.0,15.0,54.0,17.0,64.0,44.0,74.0,38.0,37.0,12.0,24.0,11.0,17.0,7.0,4.0,1.0,5.0,1.0,Elite-Scorers
62,David DiLeo,MUR,18,19.4,2.7,6.7,0.408,2.1,5.4,0.378,1.1,1.2,0.905,0.6,2.1,0.2,1.6,1.7,0.4,0.8,0.2,8.6,SF,2.0726402,224,24,0.0,0.0,6.0,4.0,8.0,3.0,4.0,2.0,24.0,10.0,7.0,3.0,4.0,1.0,38.0,14.0,3.0,2.0,12.0,4.0,4.0,2.0,4.0,1.0,Role-Players
63,David Jelinek,AND,33,22.7,3.4,8.8,0.384,1.9,5.3,0.36,1.0,1.3,0.773,1.3,1.8,0.3,1.8,2.1,1.1,0.6,0.1,9.7,SG,1.9812,190,30,2.0,1.0,14.0,4.0,12.0,4.0,18.0,7.0,51.0,17.0,35.0,21.0,31.0,8.0,55.0,20.0,9.0,4.0,20.0,8.0,2.0,0.0,5.0,3.0,Playmakers
64,Deividas Dulkys,MAN,11,14.9,0.7,3.8,0.19,0.5,3.0,0.182,0.4,0.4,1.0,0.3,1.6,0.6,1.7,2.4,0.5,0.8,0.0,2.4,GF,1.9812,196,32,2.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,8.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,1.0,0.0,Role-Players
65,Dejan Kravic,SPB,33,20.7,4.7,7.9,0.6,0.0,0.0,0.0,1.3,2.5,0.53,1.6,2.2,1.9,2.7,4.6,0.7,1.0,0.7,10.8,C,2.1336,240,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,116.0,67.0,94.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Elite-Scorers
66,Deon Thompson,UNI,34,19.5,3.4,7.1,0.477,0.7,2.1,0.343,0.7,1.0,0.697,1.1,1.9,1.0,2.2,3.2,0.8,0.7,0.4,8.2,PF,2.0726402,250,32,0.0,0.0,32.0,17.0,4.0,0.0,6.0,3.0,24.0,9.0,46.0,21.0,41.0,22.0,13.0,5.0,6.0,2.0,10.0,3.0,17.0,6.0,3.0,1.0,Big-Guys
67,Derrick Williams,VAL,31,17.0,2.5,5.2,0.494,0.7,1.8,0.404,1.2,1.8,0.632,1.2,1.7,0.3,1.9,2.2,0.6,0.5,0.1,7.0,F,2.0726402,240,29,2.0,1.0,12.0,2.0,4.0,1.0,1.0,0.0,17.0,7.0,32.0,16.0,33.0,18.0,6.0,3.0,3.0,1.0,9.0,6.0,7.0,1.0,8.0,1.0,Role-Players
68,Dino Radoncic,GBC,34,28.0,4.0,8.9,0.451,0.7,2.9,0.255,2.2,2.9,0.755,1.9,1.7,1.8,3.7,5.5,1.5,1.1,0.3,11.0,GF,2.0726402,225,22,0.0,0.0,10.0,4.0,13.0,2.0,12.0,8.0,26.0,7.0,76.0,43.0,75.0,40.0,20.0,6.0,6.0,2.0,16.0,6.0,7.0,2.0,2.0,0.0,Elite-Scorers
69,Dovydas Giedraitis,EST,16,18.8,2.4,5.6,0.422,1.2,3.4,0.37,0.4,0.6,0.778,0.8,2.3,0.4,0.7,1.1,0.7,0.5,0.0,6.4,PG,1.9507201,165,20,3.0,1.0,3.0,2.0,6.0,1.0,5.0,2.0,18.0,4.0,12.0,4.0,12.0,9.0,6.0,4.0,2.0,2.0,8.0,2.0,1.0,0.0,4.0,0.0,Role-Players
70,Dylan Ennis,ZAR,34,29.4,5.8,11.7,0.491,1.6,4.8,0.335,3.0,4.0,0.763,2.5,1.8,0.4,2.9,3.2,3.3,1.5,0.2,16.2,G,1.88976,195,29,3.0,1.0,10.0,3.0,11.0,3.0,8.0,3.0,48.0,22.0,89.0,55.0,92.0,56.0,63.0,14.0,9.0,4.0,17.0,7.0,11.0,8.0,2.0,1.0,Elite-Scorers
71,Dzherom Rendl,BETIS,20,16.6,3.4,7.8,0.439,0.9,2.7,0.333,1.4,1.6,0.844,2.3,1.8,0.1,1.0,1.1,2.2,0.5,0.0,9.1,G,1.55448,172,33,0.0,0.0,4.0,0.0,2.0,1.0,15.0,7.0,15.0,5.0,21.0,8.0,35.0,21.0,22.0,8.0,17.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0,Role-Players
72,Edgar Vicedo,EST,29,17.1,1.7,4.2,0.405,0.7,1.9,0.339,0.6,0.6,0.944,0.3,1.6,0.7,2.1,2.8,0.5,0.9,0.3,4.6,SF,2.0726402,200,26,5.0,2.0,7.0,5.0,5.0,1.0,0.0,0.0,12.0,2.0,19.0,9.0,36.0,15.0,9.0,5.0,0.0,0.0,7.0,1.0,4.0,0.0,9.0,4.0,Role-Players
73,Edwin Jackson,EST,11,21.3,2.4,7.6,0.31,0.6,2.4,0.269,1.1,1.6,0.667,1.3,2.5,0.8,1.8,2.6,2.3,0.4,0.0,6.5,SG,1.88976,201,31,1.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,8.0,3.0,12.0,4.0,17.0,9.0,4.0,1.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,Role-Players
74,Edy Tavares,RMB,30,24.0,4.3,6.1,0.696,0.0,0.1,0.5,2.4,3.4,0.723,1.6,2.7,3.2,5.0,8.1,1.0,0.9,2.3,11.0,C,2.2250402,265,28,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,67.0,43.0,57.0,35.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,Big-Guys
75,Elias Harris,ZAR,17,23.1,5.0,7.9,0.63,0.2,0.5,0.5,3.7,3.9,0.94,1.4,2.3,1.0,3.4,4.4,1.5,0.6,0.2,13.9,SF,2.0726402,239,31,0.0,0.0,10.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,44.0,28.0,36.0,26.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,Big-Guys
76,Emanuel Cate,MUR,34,16.9,2.5,4.3,0.575,0.1,0.3,0.364,1.4,1.6,0.821,1.2,2.1,2.0,2.6,4.6,0.6,0.3,0.4,6.4,PF,2.10312,225,23,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,52.0,35.0,55.0,27.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Big-Guys
78,Emir Sulejmanovic,CAN,34,12.7,1.9,3.4,0.561,0.4,1.1,0.405,0.4,0.8,0.577,0.4,2.0,0.8,2.4,3.1,0.4,0.4,0.1,4.6,PF,2.10312,220,25,1.0,1.0,12.0,7.0,1.0,1.0,2.0,1.0,5.0,1.0,22.0,13.0,27.0,17.0,5.0,1.0,1.0,0.0,7.0,1.0,3.0,0.0,5.0,4.0,Role-Players
79,Eulis Baez,MAN,25,17.8,2.1,4.4,0.486,0.8,2.0,0.373,1.5,2.1,0.731,0.8,1.9,1.3,1.6,2.9,1.4,0.8,0.3,6.5,PF,2.04216,225,38,2.0,1.0,5.0,3.0,2.0,0.0,1.0,0.0,18.0,7.0,28.0,16.0,16.0,9.0,11.0,2.0,1.0,1.0,7.0,3.0,1.0,1.0,3.0,3.0,Role-Players
80,Fabien Causeur,RMB,25,20.8,3.5,7.1,0.492,1.7,3.9,0.443,1.6,2.0,0.8,1.1,1.4,0.3,1.7,2.0,1.7,0.8,0.2,10.3,SG,1.92024,198,33,3.0,2.0,5.0,4.0,14.0,7.0,6.0,4.0,17.0,6.0,25.0,14.0,40.0,23.0,22.0,9.0,2.0,1.0,19.0,11.0,3.0,0.0,4.0,0.0,Role-Players
82,Facundo Campazzo,RMB,10,21.8,3.3,7.3,0.452,1.4,4.0,0.35,2.8,3.1,0.903,2.3,1.4,0.1,2.3,2.4,4.6,2.3,0.0,10.8,PG,1.557528,165,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,8.0,18.0,12.0,13.0,6.0,15.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,Role-Players
85,Fernando San Emeterio,VAL,27,15.4,2.0,4.5,0.434,0.6,2.0,0.296,0.9,1.2,0.727,0.7,0.8,0.2,1.9,2.1,1.3,0.4,0.0,5.4,GF,2.01168,232,37,1.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,17.0,4.0,32.0,22.0,23.0,7.0,18.0,3.0,2.0,1.0,7.0,4.0,4.0,3.0,2.0,0.0,Role-Players
86,Ferran Bassas,JOV,34,24.4,3.2,6.9,0.462,1.7,4.1,0.407,1.2,1.4,0.891,2.7,2.4,0.5,1.6,2.2,4.8,0.9,0.0,9.2,PG,1.8288,188,28,3.0,1.0,12.0,5.0,7.0,4.0,4.0,2.0,45.0,20.0,39.0,22.0,35.0,21.0,37.0,14.0,4.0,1.0,12.0,5.0,3.0,2.0,3.0,2.0,Playmakers
87,Fran Guerra,CAN,33,14.2,3.0,4.2,0.705,0.1,0.2,0.4,1.6,2.4,0.684,1.0,1.9,0.8,1.8,2.7,1.1,0.5,0.3,7.6,C,2.1336,250,28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,35.0,41.0,30.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Big-Guys
88,Francis Alonso,UNI,34,17.4,2.5,5.5,0.457,1.5,3.5,0.425,1.5,1.8,0.867,1.1,1.7,0.5,0.7,1.2,0.7,0.5,0.0,8.0,G,1.92024,185,24,2.0,1.0,13.0,5.0,12.0,4.0,4.0,2.0,39.0,17.0,20.0,14.0,18.0,6.0,22.0,11.0,11.0,6.0,17.0,5.0,10.0,5.0,8.0,4.0,Playmakers
89,Frankie Ferrari,MAN,11,20.6,4.4,10.9,0.4,1.8,5.3,0.345,1.3,1.4,0.933,2.6,2.3,0.4,1.3,1.6,5.3,1.2,0.0,11.8,G,1.85928,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0,Playmakers
97,Gabriel Deck,RMB,21,23.3,3.4,6.4,0.533,0.7,2.1,0.333,2.4,2.8,0.862,1.2,1.6,0.7,3.2,4.0,1.5,0.6,0.0,10.0,F,2.01168,210,26,1.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,13.0,4.0,28.0,19.0,44.0,30.0,12.0,5.0,4.0,1.0,8.0,4.0,3.0,0.0,3.0,1.0,Big-Guys
98,Gal Mekel,UNI,9,16.5,2.4,5.4,0.449,0.0,0.6,0.0,1.1,1.6,0.714,1.6,1.6,0.1,1.2,1.3,3.7,0.6,0.1,6.0,PG,1.92024,202,32,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,19.0,12.0,10.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Role-Players
99,Giorgi Shermadini,CAN,34,23.5,6.2,9.3,0.667,0.0,0.0,0.0,4.8,5.4,0.901,2.2,2.0,2.3,3.1,5.4,1.8,0.9,0.5,17.2,C,2.16408,250,31,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,127.0,76.0,112.0,71.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Elite-Scorers
100,Goran Huskic,BBB,21,14.2,2.2,4.0,0.554,0.0,0.1,0.0,0.9,1.2,0.72,1.3,2.1,0.7,1.8,2.5,1.4,0.4,0.1,5.2,C,2.10312,225,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,22.0,40.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Big-Guys
103,Guillem Jou,MAN,23,19.9,1.7,4.6,0.377,0.9,3.1,0.282,1.0,1.2,0.786,0.7,1.0,1.3,2.7,4.0,0.9,0.7,0.2,5.3,SG,2.01168,180,23,1.0,1.0,6.0,2.0,6.0,2.0,1.0,0.0,10.0,3.0,10.0,3.0,15.0,10.0,17.0,4.0,2.0,0.0,8.0,3.0,3.0,0.0,5.0,1.0,Role-Players
104,Guillem Vives,VAL,25,19.5,1.8,4.7,0.385,0.8,2.7,0.309,0.4,0.5,0.769,1.0,2.1,0.2,1.5,1.8,2.2,1.1,0.4,4.8,PG,1.92024,172,27,1.0,0.0,5.0,3.0,4.0,2.0,3.0,3.0,18.0,4.0,19.0,7.0,26.0,15.0,20.0,8.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,Role-Players
105,Haukur Palsson,AND,19,20.3,2.7,6.7,0.402,1.4,3.6,0.377,1.3,1.8,0.686,2.0,2.1,0.3,2.2,2.5,1.4,0.9,0.1,8.0,F,2.01168,190,28,1.0,1.0,10.0,3.0,5.0,1.0,4.0,1.0,27.0,11.0,20.0,9.0,13.0,4.0,18.0,6.0,7.0,3.0,7.0,2.0,4.0,3.0,3.0,2.0,Role-Players
107,Ilimane Diop,CAJ,28,10.4,1.5,3.4,0.436,0.5,1.3,0.378,1.0,1.1,0.844,0.4,1.9,0.5,1.2,1.8,0.5,0.2,0.4,4.4,C,1.862328,216,25,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,13.0,4.0,11.0,5.0,17.0,3.0,13.0,8.0,2.0,1.0,4.0,0.0,4.0,3.0,1.0,0.0,Role-Players
108,Isaiah Taylor,MUR,10,26.4,5.4,12.4,0.435,1.4,4.6,0.304,1.3,1.5,0.867,2.0,3.3,0.4,1.2,1.6,3.3,0.6,0.1,13.5,G,1.92024,170,26,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,9.0,3.0,29.0,13.0,32.0,18.0,16.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,Role-Players
109,J.JJ Barea,EST,18,22.8,4.3,12.0,0.361,1.6,5.1,0.308,2.4,2.9,0.811,2.3,2.7,0.3,1.2,1.6,4.7,0.9,0.0,12.6,G,1.55448,180,36,1.0,1.0,10.0,4.0,5.0,1.0,14.0,4.0,28.0,7.0,37.0,17.0,41.0,16.0,27.0,7.0,8.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0,Playmakers
110,Jaime Echenique,GBC,16,22.1,5.4,9.9,0.544,0.1,0.2,0.667,2.9,3.7,0.797,2.2,3.1,2.2,2.6,4.8,0.6,1.2,1.1,13.8,C,1.862328,258,23,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,32.0,50.0,29.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,Big-Guys
111,Jaime Fernandez,UNI,25,22.0,3.6,8.3,0.44,1.1,3.0,0.373,2.2,2.8,0.786,2.0,2.4,0.2,1.4,1.6,4.0,1.0,0.1,10.6,PG,1.88976,178,27,0.0,0.0,4.0,1.0,3.0,0.0,5.0,1.0,27.0,8.0,57.0,28.0,43.0,21.0,21.0,11.0,6.0,2.0,7.0,4.0,3.0,0.0,5.0,3.0,Big-Guys
114,Jake Cohen,OBR,33,22.1,2.9,6.5,0.449,0.9,2.8,0.337,1.7,1.9,0.905,1.3,2.2,1.0,2.8,3.8,1.2,0.5,0.3,8.5,FC,1.85928,235,30,2.0,1.0,7.0,2.0,6.0,2.0,3.0,1.0,33.0,11.0,56.0,30.0,50.0,29.0,29.0,10.0,0.0,0.0,5.0,1.0,5.0,0.0,2.0,2.0,Big-Guys
115,Jake Wiley,GCN,11,22.3,4.2,8.3,0.505,0.5,1.3,0.357,1.0,1.6,0.611,1.8,1.7,1.0,2.8,3.8,1.0,0.7,0.5,9.8,F,2.0726402,220,26,0.0,0.0,6.0,3.0,1.0,0.0,10.0,5.0,5.0,2.0,46.0,22.0,48.0,25.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0,Big-Guys
119,James Feldeine,BETIS,34,26.9,5.4,12.9,0.423,2.0,5.8,0.34,2.0,2.5,0.802,1.8,1.6,0.5,1.8,2.3,2.5,1.2,0.2,14.9,SG,1.9507201,190,32,1.0,0.0,14.0,4.0,22.0,9.0,16.0,4.0,76.0,28.0,73.0,37.0,94.0,52.0,69.0,18.0,16.0,8.0,14.0,7.0,12.0,5.0,2.0,1.0,Elite-Scorers
120,James Webb III,MUR,15,24.9,3.6,7.7,0.466,1.5,3.7,0.393,1.9,2.5,0.763,1.0,2.8,2.1,4.3,6.3,1.0,0.9,0.2,10.6,F,2.10312,202,27,1.0,0.0,3.0,2.0,9.0,4.0,2.0,0.0,14.0,4.0,18.0,8.0,21.0,12.0,15.0,6.0,1.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0,Role-Players
121,Jan Span,GBC,34,19.9,2.4,8.2,0.291,1.1,4.9,0.229,0.3,0.4,0.643,1.3,1.4,0.3,0.8,1.1,1.7,0.6,0.0,6.1,PG,1.85928,190,28,1.0,0.0,9.0,2.0,17.0,4.0,10.0,2.0,51.0,13.0,38.0,18.0,20.0,7.0,56.0,14.0,10.0,3.0,18.0,4.0,6.0,1.0,4.0,2.0,Playmakers
122,Jaroslaw Zyskowski,BBB,28,20.1,2.9,6.7,0.436,0.8,2.2,0.365,2.1,2.9,0.732,1.1,2.1,0.5,1.6,2.1,0.5,0.5,0.0,8.8,SF,2.04216,220,28,1.0,0.0,11.0,4.0,1.0,1.0,4.0,3.0,16.0,6.0,60.0,25.0,40.0,23.0,18.0,3.0,2.0,0.0,10.0,7.0,7.0,2.0,3.0,2.0,Big-Guys
