,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
123,Jasiel Rivero,SPB,31,23.4,4.6,8.1,0.576,0.5,1.9,0.283,2.8,4.2,0.664,1.8,2.5,1.7,3.9,5.7,1.0,0.5,0.5,12.6,C,2.10312,220,27,0.0,0.0,4.0,2.0,7.0,2.0,4.0,1.0,18.0,6.0,73.0,48.0,80.0,56.0,23.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,0.0,0.0,Elite-Scorers
124,Jason Thompson,ZAR,17,18.2,3.4,6.1,0.563,0.0,0.1,0.0,1.4,2.7,0.522,1.7,3.4,0.8,4.0,4.8,1.5,0.4,0.2,8.2,PF,1.862328,250,34,0.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,38.0,22.0,24.0,10.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,Role-Players
126,Javier Beiran,GCN,28,23.0,2.5,5.0,0.489,0.7,2.2,0.302,0.3,0.5,0.643,0.8,0.6,1.0,3.6,4.6,2.1,0.5,0.2,5.9,SF,2.01168,200,33,0.0,0.0,10.0,4.0,12.0,3.0,3.0,0.0,9.0,5.0,27.0,21.0,30.0,21.0,10.0,1.0,1.0,0.0,11.0,3.0,7.0,1.0,3.0,1.0,Role-Players
128,Jaycee Carroll,RMB,28,15.6,3.6,7.3,0.493,1.7,4.0,0.429,1.9,2.0,0.946,0.6,1.5,0.5,1.4,1.9,0.6,0.4,0.0,10.8,SG,1.88976,170,37,3.0,1.0,9.0,4.0,12.0,4.0,9.0,3.0,34.0,16.0,29.0,17.0,27.0,18.0,36.0,15.0,4.0,2.0,10.0,5.0,7.0,3.0,2.0,2.0,Playmakers
129,Jaylon Brown,BBB,33,26.2,4.1,9.8,0.42,1.4,4.2,0.338,2.8,3.3,0.836,2.1,2.8,0.4,1.7,2.1,2.3,0.7,0.1,12.5,G,1.8288,185,26,1.0,0.0,10.0,1.0,6.0,2.0,23.0,12.0,50.0,21.0,55.0,23.0,50.0,27.0,50.0,13.0,25.0,10.0,15.0,8.0,4.0,1.0,3.0,1.0,Playmakers
130,Jeffery Taylor,RMB,26,16.1,1.8,3.6,0.489,0.8,2.2,0.386,0.9,1.3,0.727,0.8,1.6,0.5,1.3,1.8,0.4,0.5,0.0,5.3,SF,2.04216,225,31,1.0,0.0,9.0,1.0,6.0,0.0,1.0,0.0,6.0,3.0,7.0,5.0,15.0,10.0,3.0,1.0,0.0,0.0,10.0,6.0,5.0,1.0,3.0,3.0,Role-Players
131,Jeremy Senglin,AND,31,24.1,3.9,8.9,0.442,1.2,3.4,0.356,2.5,3.1,0.792,1.3,2.4,0.5,2.0,2.5,1.7,0.5,0.1,11.5,G,1.8288,190,25,0.0,0.0,8.0,4.0,7.0,2.0,25.0,15.0,32.0,11.0,46.0,21.0,43.0,22.0,36.0,13.0,26.0,12.0,14.0,5.0,5.0,4.0,1.0,1.0,Playmakers
132,Jerome Jordan,BETIS,20,15.6,2.1,4.5,0.483,0.0,0.0,0.0,1.5,2.1,0.714,1.1,1.9,1.2,2.7,3.9,0.8,0.5,0.6,5.8,C,2.1336,253,34,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,6.0,34.0,15.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,Role-Players
133,Joan Sastre,VAL,20,17.8,2.5,4.7,0.538,1.1,2.4,0.447,0.7,0.8,0.824,1.0,1.1,0.3,1.0,1.3,1.9,0.7,0.3,6.8,SF,2.04216,200,29,1.0,0.0,3.0,2.0,2.0,1.0,7.0,1.0,8.0,2.0,20.0,13.0,14.0,11.0,13.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,3.0,1.0,Role-Players
134,Joel Parra,JOV,34,13.5,1.5,2.9,0.5,0.4,1.0,0.412,0.6,0.8,0.815,0.4,1.3,0.9,1.9,2.9,0.3,0.4,0.1,4.0,F,2.0726402,210,20,3.0,1.0,7.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,27.0,15.0,25.0,14.0,3.0,2.0,1.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,Role-Players
135,John Jenkins,BBB,20,27.5,4.7,10.5,0.443,2.8,6.8,0.407,0.9,1.2,0.76,1.5,2.1,0.4,1.4,1.8,1.4,0.8,0.1,13.0,SG,1.9507201,215,29,4.0,2.0,15.0,6.0,8.0,2.0,16.0,7.0,49.0,23.0,14.0,9.0,15.0,8.0,36.0,9.0,16.0,8.0,14.0,7.0,9.0,7.0,6.0,3.0,Playmakers
136,John Roberson,EST,31,22.0,3.7,8.9,0.419,2.5,6.1,0.404,1.3,1.3,0.951,1.3,1.9,0.2,1.0,1.3,3.0,0.5,0.0,11.2,PG,1.557528,168,32,1.0,0.0,9.0,3.0,12.0,3.0,22.0,9.0,68.0,25.0,16.0,9.0,30.0,15.0,67.0,30.0,15.0,5.0,18.0,10.0,2.0,1.0,4.0,1.0,Playmakers
137,John Shurna,GCN,32,23.3,2.8,5.6,0.508,1.0,2.4,0.421,0.8,1.1,0.794,0.6,1.5,1.3,3.1,4.4,1.1,1.2,0.5,7.5,F,2.10312,215,30,1.0,0.0,17.0,8.0,16.0,4.0,2.0,1.0,10.0,5.0,26.0,15.0,38.0,20.0,18.0,11.0,4.0,3.0,13.0,4.0,10.0,4.0,4.0,2.0,Role-Players
138,Johnny Dee,GBC,34,20.5,3.4,8.7,0.389,2.4,6.0,0.395,1.4,1.6,0.852,1.4,2.4,0.3,1.6,1.9,1.1,0.8,0.0,10.5,G,1.8288,185,28,3.0,3.0,11.0,1.0,13.0,6.0,9.0,3.0,56.0,26.0,23.0,13.0,22.0,9.0,69.0,20.0,9.0,2.0,23.0,10.0,8.0,3.0,2.0,1.0,Playmakers
