,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
179,10,Emir Sulejmanovic,CAN,34,12.7,1.9,3.4,.561,0.4,1.1,.405,0.4,0.8,.577,0.4,2.0,0.8,2.4,3.1,0.4,0.4,0.1,4.6,PF,6-9,220,25
180,11,Sergio Rodriguez,CAN,32,13.7,0.9,2.3,.405,0.7,1.6,.451,0.5,0.6,.850,0.4,1.2,0.4,1.6,2.0,0.6,0.5,0.0,3.1,SF,6-7,202,27
181,12,Daniel Diez,CAN,10,12.3,0.8,1.7,.471,0.4,1.0,.400,0.4,0.5,.800,0.4,0.1,0.3,1.4,1.7,0.2,0.5,0.0,2.4,SF,6-8,216,27
182,13,Charles Jenkins,CAN,4,12.5,0.5,1.8,.286,0.2,1.0,.250,0.0,0.0,.000,0.8,1.2,0.0,1.0,1.0,0.5,0.5,0.0,1.2,G,6-3,215,32
183,14,Alex Lopez,CAN,19,6.7,0.3,1.5,.179,0.1,0.9,.111,0.4,0.4,.875,0.5,1.1,0.1,0.3,0.4,0.6,0.2,0.0,1.0,SG,6-2,196,29
184,15,Danilo Brnovic,CAN,2,2.1,0.0,0.0,.000,0.0,0.0,.000,1.0,1.0,1.000,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,PF,6-6,194,20
185,16,Georgios Bogris,CAN,4,6.6,0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,.000,1.0,1.8,0.5,0.5,1.0,0.8,0.2,0.0,0.0,FC,6-11,235,32
186,1,Kassius Robertson,OBR,31,27.1,4.9,11.7,.419,2.8,6.7,.411,2.6,3.5,.745,2.0,1.4,0.4,1.4,1.7,2.7,0.8,0.1,15.2,G,6-3,180,26
187,2,Laurynas Birutis,OBR,30,20.5,3.7,6.2,.597,0.0,0.0,.000,3.0,4.2,.714,1.6,1.9,1.8,3.4,5.2,0.6,0.5,0.8,10.4,C,7-1,242,23
188,3,Mike Daum,OBR,28,21.2,3.5,8.0,.440,1.2,3.4,.372,1.7,2.1,.797,1.4,2.4,1.2,3.1,4.4,0.5,0.6,0.2,10.0,F,6-9,235,25
189,4,Steven Enoch,OBR,34,15.5,3.7,6.2,.592,0.4,1.0,.343,1.8,2.0,.870,1.4,1.9,1.3,2.8,4.1,0.5,0.3,0.6,9.5,PF,6-10,260,23
190,5,Jake Cohen,OBR,33,22.1,2.9,6.5,.449,0.9,2.8,.337,1.7,1.9,.905,1.3,2.2,1.0,2.8,3.8,1.2,0.5,0.3,8.5,FC,6-10,235,30
191,6,Chris Czerapowicz,OBR,32,21.0,2.9,5.9,.484,1.1,2.8,.374,0.8,1.0,.812,0.8,2.0,1.0,2.7,3.8,1.1,0.5,0.2,7.6,G,6-7,210,29
192,7,Kartal Ozmizrak,OBR,15,19.5,2.4,5.7,.424,1.3,3.6,.370,1.5,1.6,.917,1.4,2.9,0.0,1.5,1.5,2.1,0.7,0.1,7.6,PG,6-2,163,25
193,8,Laurynas Beliauskas,OBR,34,18.5,2.6,6.3,.413,1.3,4.0,.324,0.8,1.1,.737,1.1,1.6,0.3,1.2,1.5,1.6,0.6,0.1,7.3,G,6-4,175,23
194,9,Pepe Pozas,OBR,20,23.5,1.7,4.7,.362,0.8,3.3,.258,1.1,1.4,.759,2.0,2.7,0.5,2.2,2.7,4.6,1.3,0.1,5.3,PG,6-0,187,28
195,10,Alex Suarez,OBR,30,16.3,1.5,3.1,.500,0.7,1.8,.396,0.3,0.3,1.000,0.4,1.2,0.5,1.1,1.5,0.5,0.5,0.1,4.1,PF,6-10,214,27
196,11,Albert Oliver,OBR,31,15.1,1.1,2.5,.418,0.5,1.3,.390,1.2,1.4,.884,1.1,2.1,0.3,1.1,1.4,2.0,0.5,0.0,3.9,PG,6-2,185,42
197,12,Alvaro Munoz,OBR,32,12.4,0.9,2.6,.354,0.7,1.9,.350,0.5,0.6,.889,0.6,1.0,0.5,1.2,1.6,0.9,0.3,0.0,3.0,SF,6-5,200,30
198,13,Antonios Koniaris,OBR,3,8.2,0.3,2.0,.167,0.0,1.7,.000,0.7,0.7,1.000,1.3,1.0,1.0,0.0,1.0,2.7,0.7,0.0,1.3,PG,6-4,190,23
199,14,Rafael Garcia,OBR,17,2.9,0.1,0.5,.250,0.0,0.1,.000,0.2,0.4,.667,0.4,0.4,0.1,0.4,0.5,0.5,0.1,0.0,0.5,G,6-1,-,20
200,15,Martin Fernandez,OBR,1,1.4,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SG,6-4,-,19
201,1,Clevin Hannah,AND,34,25.0,4.1,8.9,.459,1.9,4.6,.410,2.9,3.2,.890,2.2,2.6,0.2,1.5,1.7,4.6,0.8,0.0,12.9,G,5-11,165,33
202,2,Jeremy Senglin,AND,31,24.1,3.9,8.9,.442,1.2,3.4,.356,2.5,3.1,.792,1.3,2.4,0.5,2.0,2.5,1.7,0.5,0.1,11.5,G,6-0,190,25
203,3,David Jelinek,AND,33,22.7,3.4,8.8,.384,1.9,5.3,.360,1.0,1.3,.773,1.3,1.8,0.3,1.8,2.1,1.1,0.6,0.1,9.7,SG,6-5,190,30
204,4,Tyson Perez,AND,17,20.8,3.0,6.5,.464,1.2,2.6,.455,1.4,2.0,.676,0.9,1.5,2.2,3.5,5.8,0.5,0.8,0.4,8.5,PF,6-8,214,25
205,5,Haukur Palsson,AND,19,20.3,2.7,6.7,.402,1.4,3.6,.377,1.3,1.8,.686,2.0,2.1,0.3,2.2,2.5,1.4,0.9,0.1,8.0,F,6-6,190,28
206,6,Tomasz Gielo,AND,17,17.7,2.4,5.1,.471,1.8,3.8,.484,1.1,1.4,.826,0.5,2.0,0.7,2.6,3.4,0.4,0.3,0.0,7.8,PF,6-9,228,28
207,7,Oriol Pauli,AND,33,21.8,2.7,6.2,.427,0.5,2.3,.227,1.5,1.9,.778,1.5,1.9,0.8,3.1,3.9,2.1,0.7,0.2,7.3,GF,6-7,185,26
208,8,Tunde Olumuyiwa,AND,33,19.7,2.9,4.4,.651,0.0,0.0,.000,1.2,1.8,.623,2.0,2.3,1.5,2.9,4.4,0.5,0.4,0.7,6.9,FC,6-8,220,29
209,9,Malik Dime,AND,18,13.5,2.2,3.8,.565,0.0,0.1,.000,1.4,1.9,.714,1.2,2.4,1.3,1.9,3.2,0.1,0.6,1.8,5.7,PF,6-9,220,28
210,10,Artsiom Parakhouski,AND,19,14.9,2.2,4.0,.553,0.0,0.0,.000,1.3,1.7,.750,1.0,1.5,1.5,2.4,3.9,0.5,0.3,0.6,5.7,C,6-11,268,33
211,11,Bandja Sy,AND,23,18.6,2.0,4.8,.427,0.6,2.4,.236,0.7,0.9,.714,0.8,2.0,1.6,2.2,3.8,0.6,0.7,0.5,5.3,F,6-8,214,30
212,12,Sergi Garcia,AND,33,16.7,1.5,4.4,.331,1.0,3.0,.347,0.8,1.2,.658,1.3,1.3,0.8,1.9,2.7,2.7,0.5,0.1,4.7,PG,6-3,181,24
213,13,Nacho Llovet,AND,24,15.8,1.6,3.2,.506,0.1,0.5,.182,0.7,0.9,.727,0.4,1.8,1.5,2.2,3.8,0.9,0.5,0.2,4.0,FC,6-8,225,29
214,14,Charlon Kloof,AND,5,13.5,1.0,4.6,.217,0.6,2.8,.214,0.4,0.4,1.000,0.8,1.4,0.2,0.8,1.0,1.0,0.8,0.4,3.0,G,6-3,195,30
215,14,Charlon Kloof,AND,5,13.5,1.0,4.6,.217,0.6,2.8,.214,0.4,0.4,1.000,0.8,1.4,0.2,0.8,1.0,1.0,0.8,0.4,3.0,G,6-3,195,30
216,18,Charlon Kloof,MON,9,8.9,0.6,1.9,.294,0.1,0.9,.125,0.2,0.2,1.000,0.7,1.3,0.1,1.1,1.2,0.9,0.2,0.2,1.4,G,6-3,195,30
217,18,Charlon Kloof,MON,9,8.9,0.6,1.9,.294,0.1,0.9,.125,0.2,0.2,1.000,0.7,1.3,0.1,1.1,1.2,0.9,0.2,0.2,1.4,G,6-3,195,30
218,15,Fausto Ruesga,AND,3,9.1,1.0,2.0,.500,0.7,1.7,.400,0.0,0.0,.000,0.7,0.7,0.3,1.0,1.3,0.0,1.3,0.0,2.7,SF,6-7,-,20
219,16,Saulius Kulvietis,AND,7,14.0,0.6,2.9,.200,0.4,2.1,.200,0.6,0.6,1.000,1.3,1.0,0.6,2.0,2.6,0.1,0.4,0.1,2.1,F,6-9,220,30
220,17,Guillem Colom,AND,18,4.2,0.4,1.3,.292,0.1,0.7,.077,0.1,0.1,1.000,0.2,0.3,0.3,0.3,0.6,0.2,0.2,0.0,0.9,PF,6-4,192,29
221,18,Albert Pons,AND,2,7.1,0.0,0.5,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,2.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,SG,6-5,187,19
222,19,Alexis Bartolome,AND,1,4.8,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,.000,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,F,6-7,201,22
223,1,Aleksa Avramovic,EST,35,29.7,5.7,13.0,.437,1.4,4.3,.322,3.6,4.3,.834,1.9,2.1,0.5,2.4,2.9,3.5,1.2,0.3,16.4,G,6-3,190,26
224,2,J.J. Barea,EST,18,22.8,4.3,12.0,.361,1.6,5.1,.308,2.4,2.9,.811,2.3,2.7,0.3,1.2,1.6,4.7,0.9,0.0,12.6,G,5-10,180,36
225,3,Alessandro Gentile,EST,17,24.6,4.9,11.5,.431,0.4,1.7,.207,1.5,2.1,.714,2.9,1.9,0.9,3.9,4.8,3.1,0.9,0.3,11.7,SF,6-6,228,28
226,4,John Roberson,EST,31,22.0,3.7,8.9,.419,2.5,6.1,.404,1.3,1.3,.951,1.3,1.9,0.2,1.0,1.3,3.0,0.5,0.0,11.2,PG,5-11,168,32
227,5,Victor Arteaga,EST,35,17.8,3.6,5.7,.631,0.0,0.0,.000,1.2,1.7,.705,1.1,2.5,2.2,2.7,4.9,0.4,0.4,0.6,8.4,C,7-0,214,28
228,6,Angel Delgado,EST,33,20.9,3.5,5.5,.650,0.0,0.0,.000,1.2,3.1,.396,1.4,2.7,3.1,4.6,7.7,0.7,0.9,0.4,8.3,C,6-10,230,26
229,7,Alec Brown,EST,35,22.9,2.9,6.7,.436,1.8,4.5,.397,0.5,0.7,.750,0.8,3.1,1.1,2.7,3.9,0.5,0.3,1.2,8.2,C,7-1,235,28
230,8,Edwin Jackson,EST,11,21.3,2.4,7.6,.310,0.6,2.4,.269,1.1,1.6,.667,1.3,2.5,0.8,1.8,2.6,2.3,0.4,0.0,6.5,SG,6-2,201,31
231,9,Dovydas Giedraitis,EST,16,18.8,2.4,5.6,.422,1.2,3.4,.370,0.4,0.6,.778,0.8,2.3,0.4,0.7,1.1,0.7,0.5,0.0,6.4,PG,6-4,165,20
232,10,Nemanja Djurisic,EST,33,17.9,2.4,5.3,.454,0.8,2.4,.350,0.5,0.7,.708,1.0,2.1,0.9,2.4,3.2,0.8,0.4,0.2,6.2,F,6-8,230,29
233,11,Edgar Vicedo,EST,29,17.1,1.7,4.2,.405,0.7,1.9,.339,0.6,0.6,.944,0.3,1.6,0.7,2.1,2.8,0.5,0.9,0.3,4.6,SF,6-8,200,26
234,12,Aleksandar Cvetkovic,EST,27,15.2,1.4,2.9,.494,0.8,2.0,.415,0.6,0.7,.895,1.3,1.9,0.3,0.9,1.1,1.7,0.6,0.0,4.3,PG,6-2,165,27
235,13,Martins Laksa,EST,6,9.4,0.8,2.5,.333,0.7,1.7,.400,0.8,0.8,1.000,0.2,1.7,0.2,1.2,1.3,0.2,0.5,0.0,3.2,SF,6-7,198,30
236,14,Zeljko Sakic,EST,1,22.3,0.0,1.0,.000,0.0,1.0,.000,2.0,2.0,1.000,1.0,2.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,F,6-7,234,32
237,15,Christ Koumadje,EST,6,4.9,0.5,0.8,.600,0.0,0.0,.000,0.2,0.7,.250,0.3,0.7,0.3,0.7,1.0,0.0,0.0,0.3,1.2,C,7-4,270,24
238,16,Adams Sola,EST,30,7.2,0.4,1.1,.333,0.1,0.7,.200,0.1,0.2,.429,0.1,1.1,0.4,0.7,1.1,0.3,0.3,0.0,1.0,G,6-5,165,20
239,17,Ruben Dominguez,EST,5,5.0,0.2,1.4,.143,0.2,0.8,.250,0.0,0.0,.000,0.2,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,SG,6-6,-,18
240,18,Emil Stoilov,EST,9,1.9,0.1,0.4,.250,0.0,0.0,.000,0.0,0.0,.000,0.2,0.6,0.2,0.3,0.6,0.1,0.0,0.1,0.2,C,6-11,215,19
241,19,Diego Alderete,EST,1,2.7,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,6-8,207,20
242,20,Nacho Arroyo,EST,2,5.8,0.0,1.5,.000,0.0,1.0,.000,0.0,0.0,.000,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PG,6-1,170,21
243,1,Edy Tavares,RMB,30,24.0,4.3,6.1,.696,0.0,0.1,.500,2.4,3.4,.723,1.6,2.7,3.2,5.0,8.1,1.0,0.9,2.3,11.0,C,7-3,265,28
244,2,Jaycee Carroll,RMB,28,15.6,3.6,7.3,.493,1.7,4.0,.429,1.9,2.0,.946,0.6,1.5,0.5,1.4,1.9,0.6,0.4,0.0,10.8,SG,6-2,170,37
